LOL, 104.160.154.17, JP, RIOT.GAMES, ASIA, JP
LOL, 104.160.155.17, KR, RIOT.GAMES, ASIA, KR
LOL, 162.62.159.240, SG, TENCENT, ASIA, SG
LOL, 104.160.143.6, SG, RIOT.GAMES, ASIA, SG
LOL, 104.160.141.17, NL, RIOT.GAMES, EUROPE, EUW
LOL, 104.160.142.17, DE, RIOT.GAMES, EUROPE, EUNE
LOL, 162.249.79.17, TR, RIOT.GAMES, EUROPE, TR
LOL, 104.160.131.17, US, RIOT.GAMES, AMERICAS, NA
LOL, 104.160.136.17, US, RIOT.GAMES, AMERICAS, LAN
LOL, 103.240.226.33, AU, RIOT.GAMES, OCEANIA, OCE
LOL, 104.160.152.17, BR, RIOT.GAMES, LATINAMERICA, BR
LOL, 138.0.12.17, CL, RIOT.GAMES, LATINAMERICA, LAS
R6S, 52.175.55.157, HK, AZURE, ASIA, EAS
R6S, 40.74.72.92, JP, AZURE, ASIA, WJA
R6S, 13.67.45.99, SG, AZURE, ASIA, SEAS
R6S, 168.62.55.154, US, AZURE, AMERICAS, EUS
R6S, 13.65.213.110, US, AZURE, AMERICAS, SUS
R6S, 104.43.216.232, US, AZURE, AMERICAS, CUS
R6S, 104.42.219.68, US, AZURE, AMERICAS, WUS
R6S, 94.245.110.239, IR, AZURE, EUROPE, NEU
R6S, 51.136.18.194, NL, AZURE, EUROPE, WEU
R6S, 23.101.221.50, AU, AZURE, OCEANIA, EAU
R6S, 23.101.224.95, AU, AZURE, OCEANIA, SAU
R6S, 23.97.97.3, BR, AZURE, LATINAMERICA, SBR
Apex, 104.199.182.138, TW, GOOGLE, ASIA, 
Apex, 104.198.82.36, JP, GOOGLE, ASIA, 
Apex, 161.202.72.179, JP, SOFTLATER, ASIA, 
Apex, 52.69.157.152, JP, AMAZON, ASIA, 
Apex, 35.185.189.243, SG, GOOGLE, ASIA, 
Apex, 72.5.161.228, SG, INAP, ASIA, 
Apex, 104.198.102.93, US, GOOGLE, AMERICAS, 
Apex, 104.197.17.180, US, GOOGLE, AMERICAS, 
Apex, 130.211.193.234, US, GOOGLE, AMERICAS, 
Apex, 52.40.240.176, US, AMAZON, AMERICAS, 
Apex, 52.6.64.33, US, AMAZON, AMERICAS, 
Apex, 63.251.239.123, US, INAP, AMERICAS, 
Apex, 107.182.233.168, US, THGHOSTING, AMERICAS, 
Apex, 146.148.120.92, BE, GOOGLE, EUROPE, 
Apex, 35.204.156.93, NL, GOOGLE, EUROPE, 
Apex, 88.202.177.50, NL, THGHOSTING, EUROPE, 
Apex, 217.147.89.101, GB, IOMART, EUROPE, 
Apex, 35.201.19.135, AU, GOOGLE, OCEANIA, 
Apex, 52.63.136.88, AU, AMAZON, OCEANIA, 
Apex, 27.50.72.162, AU, SERVER.AUSTRALIA, OCEANIA, 
Apex, 177.54.152.31, BR, MAXIHOST, LATINAMERICA, 
Apex, 35.199.73.98, BR, GOOGLE, LATINAMERICA, 
Apex, 35.199.89.186, BR, AMAZON, LATINAMERICA, 
PUBG, 3.36.0.0, KR, AMAZON, ASIA, ap-northeast-2
PUBG, 106.10.49.41, KR, NAVER, ASIA, 
PUBG, 18.138.0.0, SG, AMAZON, ASIA, ap-southeast-1
PUBG, 23.23.255.255, US, AMAZON, AMERICAS, us-east-1
PUBG, 3.130.0.254, US, AMAZON, AMERICAS, us-east-2
PUBG, 52.8.191.254, US, AMAZON, AMERICAS, us-west-1
PUBG, 52.43.255.254, US, AMAZON, AMERICAS, us-west-2
PUBG, 3.98.0.0, CA, AMAZON, AMERICAS, ca-central-1
PUBG, 46.137.191.254, IR, AMAZON, EUROPE, eu-west-1
PUBG, 52.57.255.254, DE, AMAZON, EUROPE, eu-central-1
PUBG, 35.178.0.253, GB, AMAZON, EUROPE, eu-west-2
PUBG, 54.206.127.254, AU, AMAZON, OCEANIA, ap-southeast-2
PUBG, 52.67.255.254, BR, AMAZON, LATINAMERICA, sa-east-1
